label,EOA,PS1,3Rtau,4Rtau,TDP43A,TDP43C,DLB,LOA
86,-4.98319305556044,-2.8140384819537214,-2.1663131856251137,-2.1068203559651226,-2.3649972395183334,-1.5873145900622727,-1.479416079542064,-2.3764281482151897
87,-6.261798281756537,-3.2259168494558255,-1.2276902555904858,-1.3396253827708167,-2.101578014962535,-0.8780102761725624,-1.4571719866748527,-2.4297175681733516
88,-4.879019160684203,-3.005034616621595,-2.1283897404914494,-1.6763244868392624,-2.3819212183809437,-0.8371117736581031,-0.539935510983506,-1.3056063828122277
89,-6.558232117585031,-3.8788745980043555,-5.3265114543269805,-3.1301350053071375,-3.6734720966903027,-2.6022203104321844,-1.9684871377681454,-2.4369606811956737
90,-4.406450700684188,-2.8785719646996513,-1.889957135047486,-1.5570150127187232,-1.7393093581372105,-0.47772093630344137,-0.11309895684609579,-1.0134039809997684
91,-6.692159142703816,-3.8018542906321566,-1.6970656801921973,-1.1039243472794953,-2.5926195095215023,-0.7416233111653683,-1.7586912738303064,-2.1193664803029852
92,-2.079698474226401,-1.2793970930306746,-0.6472853303309817,-0.6064535683827474,-0.6967964772915193,-0.16172212294599364,0.11157894666415477,-0.5258242901799458
93,-5.530219622266634,-3.5421974373946115,-2.833277727475848,-2.2071810454825975,-2.8624566462851577,-1.1112974017899062,-1.6155074601951431,-2.4073361320966407
94,-4.777627792570764,-3.1651855216024987,-2.1411545940204015,-1.6727598884193011,-2.4234757358938155,0.125815519216418,-1.2342012102639588,-2.6332065937715132
95,-5.757000636498962,-3.7645019420738386,-2.2041450966215805,-2.0802804084367943,-2.3530717591871007,-0.20100745225707733,-0.23155270165774217,-1.637618052966751
96,-5.953696613255889,-3.983620636202395,-1.7189795594185124,-1.7952448722862755,-2.546186282681301,-0.6559585283583147,-1.6113983352846843,-2.5144981898833065
97,-4.02453525384966,-2.8483388627448494,-2.321917338248671,-2.4471788818552285,-2.315964187364923,-0.3168554327672263,-1.823736951862257,-1.582588451038757
98,-5.0385220700647775,-3.3883546806326725,-1.5180225673608663,-1.4882295019135288,-2.0569148124536363,-0.44015014586322826,-2.027874196666043,-2.3659012312205827
99,-5.344535108441864,-4.735090946528258,-2.306222029392826,-2.8058989184179737,-2.532146830867084,-0.3958318992002932,-1.594794926390407,-1.5092759561233091
100,-6.644091654728069,-4.793816065574898,-1.4331094948041783,-1.4410921779090666,-2.0550400341711117,-0.7517253959761417,-1.4704202117100893,-1.6304071016509574
101,-4.0761227399226625,-3.61443898203862,-1.6336441583183325,-1.8992980910433725,-2.109555403625521,-0.39874910833734195,-1.3495559444279726,-0.11782942344979586
102,-4.944740860785315,-4.189510675963173,-1.5976203222932728,-1.510353430494119,-1.3442644004269502,-0.602739084467931,-1.837566062844579,-0.5808850130578851
103,-6.019516242093178,-5.40227671392074,-3.967163073934533,-3.66289921530323,-3.1003337927443773,-1.3707299121673209,-1.822862805633157,-2.339205505394556
104,-3.7290981869056536,-3.767135867055508,-1.663083206529509,-1.5239760335649168,-1.7255988992676237,-0.8175058139206555,-1.4826021062724961,-0.009160043521986353
105,-3.006819148435245,-2.902218014392591,-0.6652470105835568,-0.3789026806431892,-1.110673585177968,-0.9697419037798563,-1.6302445022684786,-0.209411209727894
106,-2.342722964119626,-1.9597155265239083,-0.2310023579010446,-0.5113451842061539,-1.2689779768605984,-0.1307942526153721,-1.2160752241549968,-0.31741303841326185
107,-4.390887262498617,-4.443590503379263,-1.3050676814280686,-1.347298855924579,-1.7223538752126064,-0.03771033749397771,-2.4395141217133762,-0.6824851881787048
108,-3.8273601933626447,-3.4932807692076766,-1.8327900332476323,-1.6897163870159673,-1.7950769375483175,-0.32425715966644797,-2.029781093728116,-0.974826770498738
109,-2.7951695786334394,-2.6959488353088794,-1.9682892545365807,-2.097438014315693,-1.7796708912334522,-0.6927329937889559,-1.515142768281545,-0.7834271664825336
110,-3.2689864023543853,-2.74670002889211,-2.7208565074033433,-2.460331843571794,-2.152875849242779,-0.4332745874868924,-1.5135220638921447,-0.9372375100836529
111,-1.1241460049228578,-1.7499674587995684,-0.5796329414548567,-0.5816983900675099,-0.6680261463457702,-0.33949948977628686,-0.7188675485637928,0.649195451603251
112,-4.977420601899636,-4.121470937043694,-1.8329138392784372,-2.625869815540365,-2.6935185891311613,-2.240446844378404,-1.2250498296725016,-1.9981413978839206
113,-1.3396688148721907,-1.984211596180847,-0.6440575342068678,-0.8962987651049024,-1.0340783989502393,-0.5722780701338445,-1.4341139895484203,-0.2198047130509867
114,-3.7914913189915747,-3.531099593300188,-1.217775878153367,-1.623366303723251,-2.000909331412343,-1.2116060815514833,-1.0272614616729965,-0.9965505917453392
115,-2.2006280517718317,-2.1080320356314814,-1.3501327921525061,-1.4984627243657178,-1.1606807052487642,-0.4673475047074053,-0.7782352145339361,0.28577174214481427
116,-1.257073574852583,-1.6378254575689515,-0.8629383739892618,-1.0158065838701802,-0.34224168763048496,-0.31067839043911843,-0.7672564011272188,0.10479772757566827
117,-2.4709872566092463,-2.0727334948971876,-1.3043888020912195,-1.2012996618508385,-1.432516607187621,-0.6959256501764166,-1.2701513641567865,-0.13366428441197822
118,-2.7396965959580104,-2.4368559946515678,-1.5236701626391629,-1.4724010807897239,-1.609490364286232,-1.2230472923962468,-1.3033689730668505,-0.3055039634517847
119,-1.486335031069122,-1.3974589962031656,-1.38787183242333,-0.2695330560511103,-0.917884791447568,0.15790922166206756,-0.07504626092336039,0.4152673018989913
120,-1.1095638326847788,-1.683806260638603,-0.6746510668293346,-0.6491457192908174,-0.6522231473006531,-0.7886470882789288,-0.9944692483273344,0.08745610848091859
121,-2.81049521938483,-2.81106139336534,-1.555212721287611,-1.160366003326449,-1.9137762089237798,-1.0862735778338457,-1.5524067726712034,-0.567143635327795
122,-0.8960022440614488,-0.577531895828475,-0.24895250551838785,-0.2013515744763685,-0.2028498630508325,-0.30509659381407156,-0.2455014370328513,0.22249085417890874
123,-5.30431276859468,-2.6069747857895815,-3.202492539978574,-1.794258812318328,-3.0351669516763016,-3.5596828458788092,-2.3298281765519104,-2.938489275172332
124,-5.773457578881471,-3.105640216692574,-2.470206109056004,-2.1342255777966663,-3.3414317328604577,-2.853590339990119,-2.251293981497585,-3.3064605936079863
125,-6.677519873090435,-3.60043965799753,-2.6682215955889337,-1.6285914690977839,-2.2519374579226077,-1.4359420278612607,-2.2906915171844418,-2.9248776806708103
126,-6.5672653725832815,-3.9523896942345615,-2.293414080383161,-2.0557857597079607,-2.646477606097109,-2.053675254661605,-2.7378195892049173,-3.058565392669586
127,-5.0220640724436345,-3.659094947915475,-0.3693396069946778,-1.4186176670043107,-0.684398348434918,-0.4142435862594796,-1.3995351629844057,-1.4624250788988473
128,-6.933656195232751,-4.296721764754302,-2.0117322836438447,-1.4734073809844968,-1.9954861483644049,-0.39268167746741467,-1.753297718482127,-2.1777596042800362
129,-5.6890209208007025,-3.7897500296490194,-0.621497706889233,-1.1646744800432074,-1.2189905982693452,-0.05161099799923681,-1.3388715290502897,-1.6390277222097696
130,-6.625041402945067,-5.367796941842946,-1.0855104643259783,-1.979402115220346,-2.4765499890549036,-0.2781616293929103,-1.272284089350863,-1.3058945873729912
131,-6.279662916503649,-4.679224596710164,-1.2281719545810361,-2.345784227132005,-2.023473695755539,-0.6084391298861389,-0.5704499287651392,-0.8961093607508348
132,-6.01284200573764,-4.620685623871557,-1.8991669024112594,-1.6246697166417619,-2.1459052879282057,-0.5362068116859812,-1.80985300117272,-1.4659509954733654
133,-5.535863097185566,-4.349654391790223,-1.2916776511745494,-1.819285458496323,-1.9447209669857661,-0.5655004743234275,-1.080075439696943,-1.1936461197113204
134,-4.528715126282549,-3.2754017606806567,-1.7161773091441541,-2.3579184846212535,-2.0078630564913835,-1.3885599413176084,-1.3931256508180958,-1.9537502133700526
135,-5.106824953688615,-3.3449729548848905,-0.9755994388910973,-1.6056763230763567,-2.672651437079468,0.23414355178654753,-1.8793475013886514,-1.4163452751100218
136,-3.983165924597302,-3.2011266572174923,-1.0927139172409885,-1.874173991313708,-2.4201526345686797,-0.8934903251744845,-1.7842253547705647,-1.536000895865411
137,-4.1251387792082905,-2.9269665145288166,-1.6457433529658179,-1.1047298690612237,-1.9922471903357173,-0.37709660169160436,-1.3352322927671954,-0.5583846645130631
138,-4.160835796062171,-3.2722092254161583,-1.7970042034691653,-2.283778442049919,-2.8860864222702687,-0.6502738024499427,-2.4599942264231007,-1.7161255860257356
139,-3.6746556465703963,-2.69220350350663,-2.0066206110631093,-1.1452163141372262,-2.481699855634665,-1.0900057839012018,-1.60419406946194,-1.0727794496578709
140,-3.534555451040649,-3.179524477050957,-2.9995601954860636,-2.6885105670544602,-1.3090451470266513,-0.6836934684877296,-1.3325516312061487,-0.32637826330743874
141,-4.533441053612746,-3.53210862997796,-3.053952600006443,-2.356940053142535,-1.5416062892615094,-0.8712403456941819,-1.2409137234433594,-1.1904973414348528
142,-5.196254365500012,-4.348500887654569,-2.9850592066968713,-3.21580031860011,-1.1577549433583778,-0.6051710840805093,-0.8770688602934374,-0.6181485310959159
143,-3.5937085191566265,-2.5190551914230506,-2.8808089108900345,-1.5135995556198913,-1.619926633773919,-0.27155305889479076,-0.5247196323616257,-0.640531666670748
144,-3.9315039363865054,-2.988986067028134,-3.0501019997941605,-1.6706390917150233,-2.0416386704960483,0.5720910795200597,-0.8605282652268785,-0.6300193378104244
145,-3.5756513565339336,-2.550923250779617,-3.302885152706644,-2.132754897334982,-2.3464602018116945,-0.14845247076281265,-1.8813035763162955,-0.6902839652064546
